parameter,i,j,value
class,106,6,0.2089802
class,106,7,0.19483294
class,106,8,0.12828575
class,106,9,0.82312256
class,107,0,0.077126056
class,107,1,0.10515408
class,107,2,0.20386595
class,107,3,0.95077777
class,107,4,0.8242228
class,107,5,0.21891704
class,107,6,0.1489355
class,107,7,0.8881507
class,107,8,0.82639
class,107,9,0.8039973
class,108,0,0.8804818
class,108,1,0.91473556
class,108,2,0.24070066
class,108,3,0.06286823
class,108,4,0.8915722
class,108,5,0.8082584
class,108,6,0.12231821
class,108,7,0.11370298
class,108,8,0.21148734
class,108,9,0.8890168
class,109,0,0.10500533
class,109,1,0.07975763
class,109,2,0.7036663
class,109,3,0.10071166
class,109,4,0.8171534
class,109,5,0.17041758
class,109,6,0.87690866
class,109,7,0.13925262
class,109,8,0.9088649
class,109,9,0.07433513
class,110,0,0.93291783
class,110,1,0.92124444
class,110,2,0.83452696
class,110,3,0.8784534
class,110,4,0.1417677
class,110,5,0.1155059
class,110,6,0.0775007
class,110,7,0.86396265
class,110,8,0.8930876
class,110,9,0.8784291
class,111,0,0.30364835
class,111,1,0.7915303
class,111,2,0.86380196
class,111,3,0.8563895
class,111,4,0.096302964
class,111,5,0.20339619
class,111,6,0.07781467
class,111,7,0.12547714
class,111,8,0.9278611
class,111,9,0.76583266
class,112,0,0.87939245
class,112,1,0.10261465
class,112,2,0.20604758
class,112,3,0.0913985
class,112,4,0.8829187
class,112,5,0.1207825
class,112,6,0.9057591
class,112,7,0.8950121
class,112,8,0.877495
class,112,9,0.8976128
class,113,0,0.1202104
class,113,1,0.21101612
class,113,2,0.74874187
class,113,3,0.069652125
class,113,4,0.25322285
class,113,5,0.549888
class,113,6,0.12929097
class,113,7,0.08697693
class,113,8,0.09313372
class,113,9,0.13500972
class,114,0,0.9524023
class,114,1,0.9560896
class,114,2,0.9119346
class,114,3,0.9602734
class,114,4,0.9650234
class,114,5,0.91747636
class,114,6,0.92162657
class,114,7,0.10316644
class,114,8,0.11173956
class,114,9,0.9467668
class,115,0,0.941218
class,115,1,0.93320256
class,115,2,0.8413313
class,115,3,0.9198711
class,115,4,0.92067474
class,115,5,0.19617218
class,115,6,0.9087852
class,115,7,0.22764878
class,115,8,0.19264029
class,115,9,0.2498028
class,116,0,0.7975644
class,116,1,0.062151585
class,116,2,0.15001759
